OD_id,matching_prob,ride_distance,detour_distance,shared_distance,saved_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,saved_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker
317,0.9259243951001619,11927.99063866039,911.2880104697798,6280.238588641496,4263.521507189217,12192.12996577164,1175.42733758103,5426.705338630405,3284.9131127890214,11016.702628190613,0.0,2073.009989021382,1716.7865118299353
318,0.47624523068577884,8625.490852300345,288.2375931696616,2191.1883843344917,1542.890661200475,8665.306141405912,328.0528822752275,1766.2678353886208,1139.5017145938502,8337.253259130686,-4.919026343526981e-14,639.2898421406792,541.6885703995299
319,0.24188641508880082,5382.196712029827,144.1899422031676,746.7831491130597,527.2059540877169,5397.575712282951,159.56894245629064,453.2492330382814,272.92872413487606,5239.93243587912,1.9256660524602538,342.687132297525,283.8753486322095
320,0.9810826556768731,18351.209584050448,1288.594620817286,8841.286275139395,6882.990029664598,18476.471438672153,1413.8564754389927,8160.447061768117,6159.935991443708,17125.400328454623,62.78536522146451,1766.2035408688007,1542.3442969744988
321,0.2500138758968724,4885.299288356537,48.29367829664777,1153.1832014682095,953.2900103833508,4893.0778456706685,56.07223561078013,563.9848807601492,507.9126451493686,4837.0056100598895,0.0,667.4364838829473,515.8369710947368
322,0.9568118377667035,18153.342008325057,845.795413526829,6069.550781726325,4269.926489826515,18256.35355155826,948.8069567600388,5831.13632259284,3870.4113215924135,17477.52998415481,169.98338935659015,1916.1747832610035,1513.1270260570864
323,0.9565052862369627,19370.233270143177,1352.0413205676264,8458.57620874105,6457.595237676401,19516.339903117965,1498.147953542411,7411.557231450683,5418.081787933204,18210.808878287717,192.61692871215544,2722.734020752861,2264.5139287549177
324,0.4608490792522443,2368.5287827080892,424.1798955036206,792.557382114933,55.49542849362554,2280.762510758674,336.41362355420557,486.5431497177779,7.290355467313383,2130.9058181948603,186.55693099039152,448.8916756608257,50.34594655470786
325,0.2916330187310959,988.7252560636975,19.61206524259494,185.73781910720146,-45.04821766746101,991.5032348475287,22.390044026426082,79.82965211550678,0.7819212215838238,969.1131908211025,0.0,115.81279601501232,-45.73312431588797
326,0.4771443020343892,5019.744693217477,130.34078736305491,2138.3873688760114,1668.415779868797,5036.617481538147,147.2135756837238,529.7932377074156,323.456787801562,4929.985251179274,40.58134532485108,1815.3604660148467,1471.196870799476
327,0.9622044191482251,5745.049407026289,752.5666433916839,4077.064183893562,2710.422866781207,6166.037731116522,1173.5549674819167,3735.293576920887,2115.8942772290675,5158.50737975281,166.0246161182046,2210.166826908413,1652.9002510956193
328,0.9179729682757491,2999.780283601701,493.5789903577858,2217.291882244383,681.1064663605993,3506.3785571805897,1000.177263936676,2051.483900280007,381.5035489652023,2519.4449624531403,13.243669209225974,1232.0663491287994,497.88931444269895
329,0.9996417854896733,11105.142130985141,1317.4867756124263,5418.924866823203,3472.183888631328,11173.705670111796,1386.0503147390784,5588.298843150061,3833.343283796095,10184.319419393487,396.66406402076973,1706.3377845117923,925.5017664088948
330,0.9999862194162232,9685.23845002871,1121.6754743289277,5283.642351244515,3346.058254799634,9792.50448661732,1228.9415109175513,5363.586685914484,3661.841503449649,8972.509031424936,408.94605572515775,2173.009350143763,1222.3590041947614
331,0.6411665622608429,2813.025684211665,588.1391328809073,1301.645744450877,-231.54472498267722,2855.587698815539,630.7011474847816,1058.7635347501162,-310.21290769403566,2318.1390728913343,93.25252156057645,470.87525990111925,11.867254349788219
332,0.9924383402496638,4956.176343912241,731.0495172354103,3398.1353588672723,1158.2368205678881,5010.308599033759,785.1817723569285,3329.0404737938347,1021.9945922974987,4407.0002620518935,181.87343537506322,1069.7198656437063,443.427835387744
333,0.9997620736873989,11584.029706102516,1208.9770837482408,5590.477928617338,3510.973011690828,11794.214972559867,1419.162350205598,5851.62827879317,4193.8515524457325,10913.195343247378,538.1427208931073,2824.4284153247886,1528.5502580951154
334,0.9069144846195686,9577.503820339734,1430.0264000805128,4415.989147804952,2294.8868501707047,9607.360925713623,1459.8835054544058,3870.464408073227,1898.7951325493952,8583.92231032586,436.44489006663713,1781.7913802020055,1002.5866577535043
335,0.9951100384437535,4858.473111547152,890.6361687931867,3422.2820433539778,984.4242015652669,5014.877216020917,1047.0402732669502,3364.8820634013873,723.0091946360661,4144.41531928581,176.57837653184362,1127.5085577885404,491.3482784246736
336,0.9995670868006334,26218.19810602369,1511.841798245955,7878.561237056722,5598.3866725150165,26449.952308399363,1743.5960006216449,8011.554638022208,6267.598604696006,25482.328148551176,775.9718407734428,4497.352305246714,2953.1996469379537
337,0.9999090472280842,8749.488374584844,1141.5764339964119,4716.865951562558,2684.087124284194,8888.653170400301,1280.7412298118693,4905.838637550995,3355.242351377098,8166.478164760099,558.5662241716703,2483.663844166466,1156.7367885910421
338,0.961156063269841,2142.075441242115,670.0195571486364,1502.6504007953567,-821.309766983604,2655.467281331509,1183.411397238029,1572.4696392695826,-1128.3021813170826,1533.1066208079592,61.05073671448097,693.4770367146721,-240.69946522922035
339,0.9874954169459136,6912.790058265688,1089.966567717448,4300.8170491780875,2430.677383053464,7270.229352104237,1447.4058615560039,3944.9597102864027,1826.2738343251538,6214.69473629143,391.87124574319097,2398.1317055058776,1549.8510341703602
340,0.9998605608287016,8257.248035009949,1063.0557177131388,4778.259737600288,2774.7169946874633,8511.105066643024,1316.9127493462327,5170.152725957718,3311.809467699852,7769.935179330674,575.7428620338653,2865.0867575109023,1549.2088279758361
341,0.7194303798680015,4497.769921488798,726.5604034614465,1984.151896361185,436.29225800770735,4553.594974693509,782.3854566661594,1362.4333016711423,225.04427837184664,4002.020817520118,230.81129949276752,1120.8624745477646,293.6956665123653
342,0.9872058989358407,7153.1024955958,878.9468709014769,3374.1130159655945,1674.0173456722878,7318.517850660018,1044.3622259656934,3368.2727046207647,1591.7695539410606,6501.416499696439,227.26087500211636,1272.2980542632909,680.7470978488689
343,0.779534416012572,15782.180076834396,961.567059914221,5286.890030172679,3882.1766689387664,15934.769639773487,1114.156622853307,4068.9044853834444,2858.9405730066405,15141.94717183404,321.3341549138605,2948.756875989539,2239.3305997820885
344,0.999787663663672,4760.4946326858735,902.3227386142465,3062.7552090478193,796.4298795829998,4855.346928242991,997.1750341713629,2992.1694316249477,806.3866450010729,4212.589929025967,354.41803495433885,1418.6870669918585,353.35517291250216
345,0.999747465650865,6500.239272902276,1019.7596174131025,4088.0223136381296,2355.0215908723067,6763.147068558558,1282.6674130693914,4327.773245841649,2659.921720315657,5894.87647644353,414.39682095435734,2045.5030386900353,1099.6551298826803
346,0.9973118665537581,3610.2785510441718,542.3215502092343,2767.639601061344,1363.47415939809,4109.534792096094,1041.577791261156,2719.0861570741104,1301.2173975856117,3194.8733835463513,126.91638271141329,1683.2055338250073,844.5187481650553
347,0.9910787562490756,2952.20639446795,544.12906259701,1895.8655495812873,-46.805829131075576,3090.5204864487005,682.4431545777618,1633.2948356584398,-357.4439847158208,2569.9308190925876,161.85348722164744,980.9633795313221,153.419059938616
348,0.9999791229674809,5592.210942609268,698.9545154202418,4166.423035068641,2229.23454404564,6014.540545482697,1121.284118293679,4365.864736566394,2327.3414948034238,5196.878691658672,303.6222644696464,2627.1457854460173,1408.681450623174
349,0.9999302372207961,11571.528848699249,1295.332045998499,5191.641614736734,3146.0628979701946,12117.26001121482,1841.063208514105,6031.309129743067,4035.3280159455185,11190.220267069548,914.0234643688082,3942.4775887559754,2310.2930042180924
350,0.9999366887738538,10470.683641477957,1216.9148951665204,5170.710356992893,3176.839998176685,11015.573985367257,1761.8052390558166,5967.442202587226,4019.5838122403734,10082.598942745297,828.8301964338536,3856.221696125481,2291.4192160021407
351,0.999999095192925,7103.082699200434,1010.2041272379665,4537.232806661427,2447.5765500581188,7267.866901697716,1174.988329735261,5152.978591775118,2846.3839459352725,6760.563969273395,667.6853973109289,3035.097306308244,1617.8322969674307
