,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
117,30,delivery_p1,2017-05-01 00:59:15.204891904,1493600355.204892,1382.0,1382.0,17592368104140,17592368104140.0,110.3214524,20.0334191,110.3214524,20.0334191
118,30,delivery_p2,2017-05-01 00:44:20.000000000,1493599460.0,544.0,1382.0,17592368104140,17592368104140.0,110.3730519,20.0123614,110.3214524,20.0334191
119,96,delivery_p2,2017-05-01 00:21:11.172154368,1493598071.1721544,1370.0,1348.0,17592367709776,17592367621202.0,110.3675838,20.0289556,110.3538777,20.0403448
120,130,pickup_p2,2017-05-01 00:25:05.000000000,1493598305.0,249.0,1348.0,17592367852303,17592367674373.0,110.3592169,20.0549485,110.3538777,20.0403448
121,119,pickup_p2,2017-05-01 00:41:55.000000000,1493599315.0,558.0,1348.0,17592367914593,17592367892617.0,110.3579319,20.0505575,110.3538777,20.0403448
122,96,pickup_p1,2017-05-01 00:58:55.000000000,1493600335.0,1370.0,1368.0,17592368303228,,110.3675838,20.0289556,110.3675816,20.033225
123,14,pickup_p1,2017-05-01 00:03:05.000000000,1493596985.0,1772.0,81.0,17592367671235,,110.3011871,20.0244527,110.3058475,20.0262806
124,98,pickup_p1,2017-05-01 00:05:45.000000000,1493597145.0,3283.0,81.0,17592367581362,,110.3207709,20.0246794,110.3058475,20.0262806
125,114,pickup_p1,2017-05-01 00:32:45.000000000,1493598765.0,1779.0,81.0,17592367704821,,110.306251,20.0263829,110.3058475,20.0262806
126,68,delivery_p2,2017-05-01 00:43:31.124979456,1493599411.1249795,1772.0,38.0,17592367809999,17592367926444.0,110.3011871,20.0244527,110.3204729,20.0245874
127,20,delivery_p2,2017-05-01 00:23:16.547135232,1493598196.5471354,633.0,38.0,17592367643749,17592367861756.0,110.3416302,20.0223599,110.3204729,20.0245874
